hour,price
0,4.21513917175832
1,4.19477257298031
2,4.20454854039375
3,4.31778682959946
4,5.14304141208418
5,5.80536320434487
6,5.69293957909029
7,5.26687033265445
8,4.98173794976239
9,4.97603530210455
10,4.7520027155465
11,4.55974202308215
12,4.54426340801086
13,4.59884589273591
14,4.67868295994569
15,5.09171758316361
16,5.50067888662593
17,6.05546503733876
18,6.19477257298031
19,5.88357094365241
20,5.44365241004752
21,4.87338764426341
22,4.60291921249151
23,4.42206381534284
