Tecomat F2x CP2005I v2.3.063 DataLogger v1.3 (2024-01-11-00:00:00) : Hot_Dock / HotDock ! Type : PERIODIC | DATE : %TYYYY-MM-DD | TIME : %Thh:mm:ss | REAL : %3.2f %RF051600 | REAL : %3.2f %RF051774 | REAL : %4.3f %RF052122 | REAL : %2.2f %RF052482 | REAL : %f %RF052297 | REAL : %f %YF000040 | REAL : %f %YF000050 | STRING : %s | ,;
DATE;TIME;17_RT_01;17_RT_02;17_RF_01;18_RA_01_1;17_RA_01;Valve_out;Pump_out;Text
2024-01-11;00:00:00;24,27;18,00;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:01:00;24,22;18,00;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:02:00;24,22;18,03;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:03:00;24,17;18,03;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:04:00;24,15;18,07;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:05:00;24,14;18,06;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:06:00;24,13;18,12;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:07:00;24,11;18,12;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:08:00;24,08;18,15;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:09:00;24,05;18,15;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:10:00;24,00;18,15;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:11:00;23,96;18,11;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:12:00;24,00;18,22;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:13:00;23,96;18,22;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:14:00;23,96;18,25;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:15:00;23,97;18,26;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:16:00;23,96;18,28;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:17:00;23,89;18,25;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:18:00;23,87;18,27;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:19:00;23,89;18,31;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:20:00;23,85;18,28;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:21:00;23,84;18,32;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:22:00;23,81;18,35;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:23:00;23,83;18,35;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:24:00;23,81;18,35;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:25:00;23,77;18,38;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:26:00;23,80;18,41;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:27:00;23,80;18,42;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:28:00;23,74;18,36;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:29:00;23,74;18,41;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:30:00;23,71;18,42;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:31:00;23,70;18,43;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:32:00;23,70;18,44;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:33:00;23,66;18,42;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:34:00;23,70;18,48;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:35:00;23,70;18,51;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:36:00;23,66;18,47;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:37:00;23,65;18,49;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:38:00;23,62;18,47;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:39:00;23,64;18,51;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:40:00;23,63;18,53;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:41:00;23,59;18,50;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:42:00;23,58;18,50;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:43:00;23,57;18,52;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:44:00;23,58;18,55;0,000;2,72;10,000000;10,000000;2,717770; Sync 
2024-01-11;00:45:00;23,57;18,54;0,000;2,72;10,000000;10,000000;2,717770; Sync 
