Tecomat F2x CP2005I v2.3.063 DataLogger v1.3 (2024-01-09-00:00:00) : Data / Emulator ! Type : PERIODIC | DATE : %TYYYY-MM-DD | TIME : %Thh:mm:ss | REAL : %3.1f %RF007990 | REAL : %3.1f %RF007994 | REAL : %3.1f %RF007998 | REAL : %3.1f %RF008002 | REAL : %1.1f %RF008010 | REAL : %f %RF009504 | REAL : %f %RF009628 | REAL : %f %RF009519 | REAL : %f %RF009643 | STRING : %s | ,;
DATE;TIME;tHot1;tHot2;tCold1;tCold2;siemensFlow;requiredTemp3WV;requiredFlow2WV;PID.out3WV;PID.out2WV;Text
2024-01-09;00:49:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:50:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:51:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:52:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:53:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:54:00;19,4;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:55:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:56:00;19,4;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:57:00;19,4;18,6;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:58:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;00:59:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:00:00;19,3;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:01:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:02:00;19,4;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:03:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:04:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:05:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:06:00;19,3;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:07:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:08:00;19,2;18,5;18,4;18,5;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:09:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:10:00;19,4;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:11:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:12:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:13:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:14:00;19,3;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:15:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:16:00;19,3;18,6;18,6;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:17:00;19,2;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:18:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:19:00;19,4;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:20:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:21:00;19,2;18,5;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:22:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:23:00;19,3;18,6;18,6;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:24:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:25:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:26:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:27:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:28:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:29:00;19,3;18,6;18,6;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:30:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:31:00;19,4;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:32:00;19,2;18,5;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:33:00;19,3;18,5;18,5;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:34:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:35:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:36:00;19,3;18,6;18,6;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:37:00;19,1;18,4;18,4;18,5;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:38:00;19,3;18,6;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:39:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:40:00;19,4;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:41:00;19,2;18,5;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:42:00;19,3;18,6;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:43:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:44:00;19,2;18,4;18,4;18,5;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:45:00;19,3;18,5;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:46:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:47:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:48:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:49:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:50:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:51:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:52:00;19,4;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:53:00;19,3;18,5;18,5;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:54:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:55:00;19,1;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:56:00;19,4;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:57:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:58:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;01:59:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:00:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:01:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:02:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:03:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:04:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:05:00;19,3;18,6;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:06:00;19,4;18,6;18,6;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:07:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:08:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:09:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:10:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:11:00;19,3;18,5;18,5;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:12:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:13:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:14:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:15:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:16:00;19,3;18,5;18,5;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:17:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:18:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:19:00;19,3;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:20:00;19,3;18,6;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:21:00;19,3;18,6;18,6;18,8;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:22:00;19,3;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:23:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:24:00;19,2;18,5;18,6;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:25:00;19,2;18,5;18,5;18,6;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
2024-01-09;02:26:00;19,2;18,5;18,5;18,7;0,0;0,000000;0,000000;10,000000;10,000000; Sync 
