Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-17-00:00:00) : Datalog / El_meter ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | REAL : %9.f %RF012397 | REAL : %9.f %RF012401 | REAL : %9.f %RF012405 | ,;
DATUM;ÈAS;Vykon L1;Vykon L2;Vykon L3
17-01-2024;00:00:00;        3;        0;       -0;
17-01-2024;00:01:00;       -6;        0;       -0;
17-01-2024;00:02:00;       -5;        0;       -0;
17-01-2024;00:03:00;       -6;        0;       -0;
17-01-2024;00:04:00;       -5;       -0;       -0;
17-01-2024;00:05:00;       -6;        0;       -0;
17-01-2024;00:06:00;        3;        0;       -0;
17-01-2024;00:07:00;       -5;        0;       -0;
17-01-2024;00:08:00;       -6;        0;       -0;
17-01-2024;00:09:00;       -5;        0;       -0;
17-01-2024;00:10:00;        3;        0;       -0;
17-01-2024;00:11:00;        3;        0;       -0;
17-01-2024;00:12:00;       -6;       -0;       -0;
17-01-2024;00:13:00;       -6;        0;       -0;
17-01-2024;00:14:00;        3;       -0;       -0;
17-01-2024;00:15:00;       -5;        0;       -0;
17-01-2024;00:16:00;       -6;       -0;       -0;
17-01-2024;00:17:00;       -6;        0;       -0;
17-01-2024;00:18:00;       -6;       -0;       -0;
17-01-2024;00:19:00;       -6;        0;       -0;
17-01-2024;00:20:00;       -6;        0;       -0;
17-01-2024;00:21:00;       -6;        0;       -0;
17-01-2024;00:22:00;       -4;        0;       -0;
17-01-2024;00:23:00;       -6;       -0;       -0;
17-01-2024;00:24:00;        1;        0;       -0;
17-01-2024;00:25:00;        3;        0;       -0;
17-01-2024;00:26:00;        3;       -0;       -0;
17-01-2024;00:27:00;        2;       -0;       -0;
17-01-2024;00:28:00;        3;        0;       -0;
17-01-2024;00:29:00;        1;        0;       -0;
17-01-2024;00:30:00;       -4;       -0;       -0;
17-01-2024;00:31:00;       -6;        0;       -0;
17-01-2024;00:32:00;       -6;        0;       -0;
17-01-2024;00:33:00;       -5;        0;       -0;
17-01-2024;00:34:00;       -6;       -0;       -0;
17-01-2024;00:35:00;       -5;        0;       -0;
17-01-2024;00:36:00;       -6;        0;       -0;
17-01-2024;00:37:00;       -1;        0;       -0;
17-01-2024;00:38:00;        3;        0;        0;
17-01-2024;00:39:00;        4;        0;       -0;
17-01-2024;00:40:00;        4;        0;       -0;
17-01-2024;00:41:00;       -6;       -0;       -0;
17-01-2024;00:42:00;       -6;        0;       -0;
17-01-2024;00:43:00;       -1;        0;       -0;
17-01-2024;00:44:00;       -4;        0;       -0;
17-01-2024;00:45:00;       -5;        0;       -0;
17-01-2024;00:46:00;       -6;        0;       -0;
17-01-2024;00:47:00;       -6;        0;        0;
17-01-2024;00:48:00;       -6;        0;       -0;
17-01-2024;00:49:00;       -5;        0;       -0;
17-01-2024;00:50:00;       -6;        0;       -0;
17-01-2024;00:51:00;       -6;        0;       -0;
17-01-2024;00:52:00;        2;       -0;       -0;
17-01-2024;00:53:00;       -4;        0;       -0;
17-01-2024;00:54:00;       -6;        0;       -0;
17-01-2024;00:55:00;       -6;        0;       -0;
17-01-2024;00:56:00;        3;       -0;       -0;
17-01-2024;00:57:00;        1;        0;       -0;
17-01-2024;00:58:00;       -6;        0;       -0;
17-01-2024;00:59:00;       -6;        0;       -0;
17-01-2024;01:00:00;       -6;        0;       -0;
17-01-2024;01:01:00;       -6;        0;       -0;
17-01-2024;01:02:00;        3;        0;       -0;
17-01-2024;01:03:00;       -6;        0;       -0;
17-01-2024;01:04:00;        3;       -0;       -0;
17-01-2024;01:05:00;       -6;       -0;       -0;
17-01-2024;01:06:00;       -6;        0;       -0;
17-01-2024;01:07:00;       -6;       -0;       -0;
17-01-2024;01:08:00;        3;       -0;       -0;
17-01-2024;01:09:00;       -6;        0;       -0;
17-01-2024;01:10:00;       -2;        0;       -0;
17-01-2024;01:11:00;       -4;        0;       -0;
17-01-2024;01:12:00;       -6;        0;       -0;
17-01-2024;01:13:00;       -5;        0;       -0;
17-01-2024;01:14:00;        0;        0;       -0;
17-01-2024;01:15:00;       -5;        0;       -0;
17-01-2024;01:16:00;       -6;        0;       -0;
17-01-2024;01:17:00;       -6;        0;       -0;
17-01-2024;01:18:00;        3;        0;       -0;
17-01-2024;01:19:00;       -5;        0;       -0;
