Tecomat F2x CP2005I v2.3.063 DataLogger v1.3 (2024-01-17-00:00:00) : Hot_Dock / Srovnani ! Type : PERIODIC | DATE : %TYYYY-MM-DD | TIME : %Thh:mm:ss | REAL : %3.2f %RF051252 | REAL : %3.2f %RF051426 | REAL : %4.3f %RF051948 | STRING : %s | ,;
DATE;TIME;1_MT_01;1_MT_02;1_MF_01;Text
2024-01-17;00:00:00;33,02;31,13;0,000; Sync 
2024-01-17;00:01:00;32,89;31,03;0,000; Sync 
2024-01-17;00:02:00;32,77;30,92;0,000; Sync 
2024-01-17;00:03:00;32,69;30,88;0,000; Sync 
2024-01-17;00:04:00;32,57;30,80;0,000; Sync 
2024-01-17;00:05:00;32,44;30,66;0,000; Sync 
2024-01-17;00:06:00;32,33;30,61;0,000; Sync 
2024-01-17;00:07:00;32,25;30,55;0,000; Sync 
2024-01-17;00:08:00;32,13;30,42;0,000; Sync 
2024-01-17;00:09:00;32,05;30,38;0,000; Sync 
2024-01-17;00:10:00;31,95;30,32;0,000; Sync 
2024-01-17;00:11:00;31,86;30,27;0,000; Sync 
2024-01-17;00:12:00;31,72;30,16;0,000; Sync 
2024-01-17;00:13:00;31,64;30,11;0,000; Sync 
2024-01-17;00:14:00;31,51;30,02;0,000; Sync 
2024-01-17;00:15:00;31,43;29,97;0,000; Sync 
2024-01-17;00:16:00;31,31;29,87;0,000; Sync 
2024-01-17;00:17:00;31,22;29,80;0,000; Sync 
2024-01-17;00:18:00;31,13;29,74;0,000; Sync 
2024-01-17;00:19:00;31,04;29,70;0,000; Sync 
2024-01-17;00:20:00;30,98;29,69;0,000; Sync 
2024-01-17;00:21:00;30,83;29,56;0,000; Sync 
2024-01-17;00:22:00;30,70;29,46;0,000; Sync 
2024-01-17;00:23:00;30,66;29,45;0,000; Sync 
2024-01-17;00:24:00;30,58;29,42;0,000; Sync 
2024-01-17;00:25:00;30,51;29,38;0,000; Sync 
2024-01-17;00:26:00;30,39;29,29;0,000; Sync 
2024-01-17;00:27:00;30,30;29,23;0,000; Sync 
