Tecomat F2x CP2005I v2.3.063 DataLogger v1.3 (2024-01-10-00:00:00) : Data / Emulator ! Type : PERIODIC | DATE : %TYYYY-MM-DD | TIME : %Thh:mm:ss | REAL : %3.1f %RF007990 | REAL : %3.1f %RF007994 | REAL : %3.1f %RF007998 | REAL : %3.1f %RF008002 | REAL : %1.1f %RF008010 | REAL : %f %RF009504 | REAL : %f %RF009628 | REAL : %f %RF009519 | REAL : %f %RF009643 | STRING : %s | ,;
DATE;TIME;tHot1;tHot2;tCold1;tCold2;siemensFlow;requiredTemp3WV;requiredFlow2WV;PID.out3WV;PID.out2WV;Text
2024-01-10;00:00:00;26,9;24,7;18,9;26,1;1142,3;-24,799999;-1000,000000;14,985645;0,000000; Sync 
2024-01-10;00:01:00;26,8;24,6;18,9;26,2;1145,0;-24,799999;-1000,000000;14,705835;0,000000; Sync 
2024-01-10;00:02:00;27,0;24,8;18,9;26,3;1143,3;-24,799999;-1000,000000;17,090189;0,000000; Sync 
2024-01-10;00:03:00;26,8;24,7;18,8;26,1;1141,9;-24,799999;-1000,000000;17,552273;0,000000; Sync 
2024-01-10;00:04:00;26,9;24,7;18,8;26,1;1144,7;-24,799999;-1000,000000;17,734274;0,000000; Sync 
2024-01-10;00:05:00;26,9;24,7;18,8;26,1;1146,0;-24,799999;-1000,000000;17,521271;0,000000; Sync 
2024-01-10;00:06:00;26,8;24,6;18,9;26,2;1146,3;-24,799999;-1000,000000;17,381269;0,000000; Sync 
2024-01-10;00:07:00;26,9;24,7;18,9;26,2;1144,7;-24,799999;-1000,000000;17,600412;0,000000; Sync 
2024-01-10;00:08:00;26,8;24,5;18,9;26,2;1145,0;-24,799999;-1000,000000;15,382935;0,000000; Sync 
2024-01-10;00:09:00;26,8;24,5;18,8;26,1;1143,5;-24,799999;-1000,000000;15,347383;0,000000; Sync 
2024-01-10;00:10:00;26,9;24,8;18,8;26,1;1144,3;-24,799999;-1000,000000;14,891108;0,000000; Sync 
