Tecomat F2x CP2005I v2.3.063 DataLogger v1.3 (2024-01-18-00:00:00) : Data / Emulator ! Type : PERIODIC | DATE : %TYYYY-MM-DD | TIME : %Thh:mm:ss | REAL : %3.1f %RF007990 | REAL : %3.1f %RF007994 | REAL : %3.1f %RF007998 | REAL : %3.1f %RF008002 | REAL : %1.1f %RF008010 | REAL : %f %RF009504 | REAL : %f %RF009628 | REAL : %f %RF009519 | REAL : %f %RF009643 | STRING : %s | ,;
DATE;TIME;tHot1;tHot2;tCold1;tCold2;siemensFlow;requiredTemp3WV;requiredFlow2WV;PID.out3WV;PID.out2WV;Text
2024-01-18;00:00:00;24,8;24,2;20,2;23,3;1133,9;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:01:00;24,9;24,3;20,3;23,4;1130,5;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:02:00;24,9;24,3;20,3;23,3;1135,4;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:03:00;24,9;24,2;20,2;23,3;1131,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:04:00;24,9;24,3;20,3;23,3;1130,1;-24,900000;-1000,000000;0,183213;0,000000; Sync 
2024-01-18;00:05:00;24,9;24,3;20,3;23,4;1133,7;-24,900000;-1000,000000;0,398048;0,000000; Sync 
2024-01-18;00:06:00;24,9;24,3;20,3;23,4;1134,2;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:07:00;24,9;24,3;20,1;23,3;1135,2;-24,900000;-1000,000000;0,084655;0,000000; Sync 
2024-01-18;00:08:00;24,9;24,3;20,3;23,4;1134,7;-24,900000;-1000,000000;0,149175;0,000000; Sync 
2024-01-18;00:09:00;24,8;24,2;20,2;23,3;1128,8;-24,900000;-1000,000000;0,189369;0,000000; Sync 
2024-01-18;00:10:00;24,8;24,2;20,1;23,3;1133,4;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:11:00;24,8;24,2;20,2;23,3;1134,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:12:00;25,0;24,3;20,3;23,4;1135,2;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:13:00;24,8;24,2;20,2;23,4;1132,7;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:14:00;24,8;24,3;20,2;23,5;1133,7;-24,900000;-1000,000000;1,211587;0,000000; Sync 
2024-01-18;00:15:00;24,8;24,3;20,3;23,5;1134,2;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:16:00;24,8;24,2;20,1;23,3;1135,6;-24,900000;-1000,000000;0,129720;0,000000; Sync 
2024-01-18;00:17:00;24,9;24,3;20,3;23,4;1136,1;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:17:59;24,8;24,2;20,1;23,4;1136,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:19:00;24,9;24,3;20,1;23,4;1128,8;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:20:00;24,9;24,3;20,1;23,3;1132,3;-24,900000;-1000,000000;0,111399;0,000000; Sync 
2024-01-18;00:21:00;24,9;24,3;20,1;23,4;1137,7;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:22:00;24,9;24,2;20,1;23,4;1134,1;-24,900000;-1000,000000;0,025433;0,000000; Sync 
2024-01-18;00:23:00;24,9;24,3;20,2;23,4;1130,9;-24,900000;-1000,000000;0,396400;0,000000; Sync 
2024-01-18;00:24:00;24,8;24,2;20,0;23,3;1129,8;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:25:00;24,7;24,1;20,0;23,3;1136,8;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:25:59;24,9;24,3;20,1;23,4;1131,3;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:27:00;24,9;24,3;20,2;23,4;1135,0;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:28:00;24,9;24,3;20,2;23,4;1131,8;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:29:00;25,0;24,4;20,3;23,5;1134,1;-24,900000;-1000,000000;0,361232;0,000000; Sync 
2024-01-18;00:30:00;24,8;24,3;20,2;23,5;1137,7;-24,900000;-1000,000000;0,198474;0,000000; Sync 
2024-01-18;00:31:00;25,0;24,3;20,2;23,5;1135,4;-24,900000;-1000,000000;0,092406;0,000000; Sync 
2024-01-18;00:32:00;24,9;24,3;20,1;23,4;1136,8;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:33:00;24,9;24,4;20,3;23,5;1133,2;-24,900000;-1000,000000;0,190176;0,000000; Sync 
2024-01-18;00:34:00;24,9;24,3;20,1;23,4;1131,1;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:35:00;25,0;24,3;20,3;23,5;1134,3;-24,900000;-1000,000000;0,401731;0,000000; Sync 
2024-01-18;00:36:00;24,9;24,3;20,1;23,4;1131,0;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:37:00;24,9;24,3;20,2;23,5;1129,5;-24,900000;-1000,000000;0,225741;0,000000; Sync 
2024-01-18;00:38:00;24,9;24,3;20,1;23,4;1127,3;-24,900000;-1000,000000;0,083408;0,000000; Sync 
2024-01-18;00:39:00;24,9;24,3;20,1;23,4;1130,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:40:00;24,9;24,3;20,1;23,4;1130,8;-24,900000;-1000,000000;0,009507;0,000000; Sync 
2024-01-18;00:41:00;24,9;24,3;20,1;23,4;1130,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:42:00;25,0;24,4;20,3;23,5;1132,3;-24,900000;-1000,000000;0,332893;0,000000; Sync 
2024-01-18;00:43:00;24,9;24,3;20,1;23,4;1132,7;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:44:00;25,0;24,4;20,2;23,6;1133,9;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:45:00;24,9;24,3;20,2;23,6;1129,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:46:00;25,0;24,4;20,3;23,6;1131,8;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:47:00;25,0;24,4;20,2;23,6;1133,2;-24,900000;-1000,000000;0,190713;0,000000; Sync 
2024-01-18;00:48:00;25,0;24,4;20,3;23,6;1132,3;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:49:00;24,9;24,4;20,3;23,6;1129,8;-24,900000;-1000,000000;0,150477;0,000000; Sync 
2024-01-18;00:50:00;24,9;24,3;20,1;23,5;1133,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:51:00;25,0;24,3;20,1;23,5;1131,6;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:52:00;24,9;24,3;20,3;23,6;1131,0;-24,900000;-1000,000000;0,143457;0,000000; Sync 
2024-01-18;00:53:00;24,9;24,3;20,1;23,4;1134,8;-24,900000;-1000,000000;0,432850;0,000000; Sync 
2024-01-18;00:54:00;24,9;24,3;20,1;23,5;1133,9;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:55:00;25,0;24,4;20,3;23,6;1133,1;-24,900000;-1000,000000;0,147257;0,000000; Sync 
2024-01-18;00:56:00;24,9;24,3;20,0;23,4;1135,8;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:57:00;24,9;24,3;20,1;23,5;1132,0;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;00:58:00;25,0;24,4;20,3;23,6;1139,9;-24,900000;-1000,000000;0,097627;0,000000; Sync 
2024-01-18;00:59:00;25,0;24,5;20,4;23,7;1136,1;-24,900000;-1000,000000;0,082869;0,000000; Sync 
2024-01-18;01:00:00;24,9;24,3;20,2;23,5;1133,3;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;01:01:00;24,9;24,3;20,2;23,6;1131,5;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;01:02:00;25,0;24,4;20,2;23,6;1130,9;-24,900000;-1000,000000;0,061644;0,000000; Sync 
2024-01-18;01:03:00;25,1;24,5;20,2;23,6;1134,9;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;01:04:00;25,0;24,4;20,3;23,6;1131,3;-24,900000;-1000,000000;0,469712;0,000000; Sync 
2024-01-18;01:05:00;25,1;24,4;20,3;23,5;1133,0;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;01:06:00;25,0;24,4;20,2;23,6;1135,7;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;01:07:00;24,9;24,3;20,2;23,5;1131,8;-24,900000;-1000,000000;0,519048;0,000000; Sync 
2024-01-18;01:08:00;24,9;24,3;20,2;23,6;1132,2;-24,900000;-1000,000000;0,116734;0,000000; Sync 
2024-01-18;01:09:00;24,9;24,3;20,1;23,5;1133,3;-24,900000;-1000,000000;0,000000;0,000000; Sync 
2024-01-18;01:10:00;24,9;24,3;20,1;23,5;1131,1;-24,900000;-1000,000000;0,245653;0,000000; Sync 
2024-01-18;01:11:00;24,9;24,3;20,3;23,6;1138,8;-24,900000;-1000,000000;0,340399;0,000000; Sync 
